PrevStatus,NewStatus,Time,CallId,StatementId
NULL,Unrecon,25/10/16 12:00,mc1|mc10,ms1
NULL,Unrecon,25/10/16 12:00,mc2|mc11,ms2
NULL,Unrecon,25/10/16 12:00,mc3|mc12,ms3
NULL,Unrecon,25/10/16 12:00,mc4|mc13,ms4
NULL,Unrecon,25/10/16 12:00,mc5|mc14,ms5
NULL,Unrecon,25/10/16 12:00,mc6|mc15,ms6
NULL,Unrecon,25/10/16 12:00,mc7|mc16,ms7
NULL,Unrecon,25/10/16 12:00,mc8|mc17,ms8
NULL,Unrecon,25/10/16 12:00,mc9|mc18,ms9
NULL,Unrecon,26/10/16 12:00,mc37|mc46,ms28
NULL,Unrecon,26/10/16 12:00,mc38|mc47,ms29
NULL,Unrecon,26/10/16 12:00,mc39|mc48,ms30
NULL,Unrecon,26/10/16 12:00,mc40|mc49,ms31
NULL,Unrecon,26/10/16 12:00,mc41|mc50,ms32
NULL,Unrecon,26/10/16 12:00,mc42|mc51,ms33
NULL,Unrecon,26/10/16 12:00,mc43|mc52,ms34
NULL,Unrecon,26/10/16 12:00,mc44|mc53,ms35
NULL,Unrecon,26/10/16 12:00,mc45|mc54,ms36
