Date,creationTime,PV,Currency,TradeId,Source
27/11/16,12:00:00,23010000,USD,irsvt1,Markit
27/11/16,12:00:00,21020000,USD,irsvt2,Markit
27/11/16,12:00:00,7530000,USD,irsvt3,Markit
27/11/16,12:00:00,5040000,USD,irsvt4,Markit
27/11/16,12:00:00,1050000,USD,irsvt5,Markit
27/11/16,12:00:00,22990000,USD,irsft1,Markit
27/11/16,12:00:00,2098000,USD,irsft2,Markit
27/11/16,12:00:00,7470000,USD,irsft3,Markit
27/11/16,12:00:00,4960000,USD,irsft4,Markit
27/11/16,12:00:00,950000,USD,irsft5,Markit
27/11/16,12:00:00,9000000,USD,cdst1,Markit
27/11/16,12:00:00,15000000,USD,cdst2,Markit
27/11/16,12:00:00,9000002,USD,cdst3,Markit
27/11/16,12:00:00,15000001,USD,cdst4,Markit
27/11/16,12:00:00,9000004,USD,cdst5,Markit
27/11/16,12:00:00,30500,USD,ndft1,Markit
27/11/16,12:00:00,30501,USD,ndft2,Markit
27/11/16,12:00:00,30502,USD,ndft3,Markit
27/11/16,12:00:00,30503,USD,ndft4,Markit
27/11/16,12:00:00,30504,USD,ndft5,Markit
27/11/16,12:00:00,-5000,USD,fxsi1,Markit
27/11/16,12:00:00,-4999,USD,fxsi2,Markit
27/11/16,12:00:00,-4998,USD,fxsi3,Markit
27/11/16,12:00:00,-4997,USD,fxsi4,Markit
27/11/16,12:00:00,-4996,USD,fxsi5,Markit
27/11/16,12:00:00,-150000,USD,fxsw1,Markit
27/11/16,12:00:00,-250000,USD,fxsw2,Markit
27/11/16,12:00:00,-170000,USD,fxsw3,Markit
27/11/16,12:00:00,-230000,USD,fxsw4,Markit
27/11/16,12:00:00,0,USD,fxsw5,Markit
27/11/16,12:00:00,30500,USD,optv1,Markit
27/11/16,12:00:00,30501,USD,optv2,Markit
27/11/16,12:00:00,30502,USD,optv3,Markit
27/11/16,12:00:00,30503,USD,optv4,Markit
27/11/16,12:00:00,30504,USD,optv5,Markit
27/11/16,12:00:00,30500,USD,optb1,Markit
27/11/16,12:00:00,30501,USD,optb2,Markit
27/11/16,12:00:00,30502,USD,optb3,Markit
27/11/16,12:00:00,30503,USD,optb4,Markit
27/11/16,12:00:00,30504,USD,optb5,Markit
27/11/16,12:00:00,-15000,USD,fra1,Markit
27/11/16,12:00:00,-14999,USD,fra2,Markit
27/11/16,12:00:00,-14998,USD,fra3,Markit
27/11/16,12:00:00,-14997,USD,fra4,Markit
27/11/16,12:00:00,-14996,USD,fra5,Markit
27/11/16,12:00:00,0,USD,zcs1,Markit
27/11/16,12:00:00,0,USD,zcs2,Markit
27/11/16,12:00:00,0,USD,zcs3,Markit
27/11/16,12:00:00,0,USD,zcs4,Markit
27/11/16,12:00:00,0,USD,zcs5,Markit
27/11/16,12:00:00,-15000,USD,swopt1,Markit
27/11/16,12:00:00,-20000,USD,swopt2,Markit
27/11/16,12:00:00,50000,USD,swopt3,Markit
27/11/16,12:00:00,75000,USD,swopt4,Markit
27/11/16,12:00:00,-5000,USD,swopt5,Markit
27/11/16,12:00:00,21798029.56,EUR,irsvt1,Markit
27/11/16,12:00:00,19912845.77,EUR,irsvt2,Markit
27/11/16,12:00:00,7133383.86,EUR,irsvt3,Markit
27/11/16,12:00:00,4774535.81,EUR,irsvt4,Markit
27/11/16,12:00:00,994694.96,EUR,irsvt5,Markit
27/11/16,12:00:00,21779082.99,EUR,irsft1,Markit
27/11/16,12:00:00,1987495.26,EUR,irsft2,Markit
27/11/16,12:00:00,7076544.15,EUR,irsft3,Markit
27/11/16,12:00:00,4698749.53,EUR,irsft4,Markit
27/11/16,12:00:00,899962.11,EUR,irsft5,Markit
