PrevStatus,NewStatus,Time,CallId
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp2
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp3
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp4
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp5
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp6
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp7
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp8
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp10
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp11
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp12
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp17
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp18
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp19
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp20
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp22
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp23
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp25
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp26
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp27
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp28
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp29
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp30
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp32
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp33
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34a
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34b
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34c
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34d
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34e
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34f
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34g
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34h
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp34i
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp35
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp36
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp37
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp38
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp39
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp40
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp41
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp42
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp44
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp45
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp46
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp47
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp48
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp49
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp50
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp51
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp52
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp53
Unrecon,Reconciled,2017/01/13T12:00:00.000,mcp54
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf2
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf3
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf4
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf5
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf24
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf25
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf32
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf33
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf34
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf35
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf36
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf37
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf38
Unrecon,Reconciled,2017/01/13T12:00:00.000,pcf40
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip32
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip33
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip34
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip35
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip36
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip37
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip38
Unrecon,Reconciled,2017/01/13T12:00:00.000,ip40
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai32
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai33
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai34
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai35
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai36
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai37
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai38
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai39
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai40
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai41
Unrecon,Reconciled,2017/01/13T12:00:00.000,pai42
Unrecon,Reconciled,2017/01/13T12:00:00.000,fc38
