PrevStatus,NewStatus,Time,CallId,StatementId
Reconciled,Pledged,2016/10/25T12:00:35.000,mc7,ms7
Reconciled,Pledged,2016/10/25T12:00:35.000,mc8,ms8
Reconciled,Pledged,2016/10/25T12:00:35.000,mc9,ms9
Reconciled,Pledged,2016/10/25T12:00:35.000,mc16,ms7
Reconciled,Pledged,2016/10/25T12:00:35.000,mc17,ms8
Reconciled,Pledged,2016/10/25T12:00:35.000,mc18,ms9
Reconciled,Pledged,2016/10/25T12:00:35.000,mc43,ms34
Reconciled,Pledged,2016/10/25T12:00:35.000,mc44,ms35
Reconciled,Pledged,2016/10/25T12:00:35.000,mc45,ms36
Reconciled,Pledged,2016/10/25T12:00:35.000,mc52,ms34
Reconciled,Pledged,2016/10/25T12:00:35.000,mc53,ms35
Reconciled,Pledged,2016/10/25T12:00:35.000,mc54,ms36
