assetId,legalEntityId,ratingMethod
JP1051231F37,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
JP1051171E30,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
XS1226268735,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
IT0003493258,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
DE0001135382,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
DE0001135481,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
US912803AY96,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
DE0001104644,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
IT0005217390,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
DE0001104636,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
DE0001141737,"67S3W5G97PLR6CFI0C21,X16SJBPCWP68U2WPJL6N,BTP4W46BJCSBK5JHPZ9H,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,681C7POTKXR2F8G2H3E8,WBQDLCV8W1OCZO4V5Q0V,NL5DPC7A5XNNI628U6DG,1ITLJ0FMV8XALGVAVLD5,CH7JW47SD059FDCYSLW8,6FFIV0FKRMDE8R07TYOP,Z44Y5TSH72O5OUPNSDKS,R2ZJ56N6X7RSRWT6AZX2,LJ7OIIYEMFNMZ5P3PMRN",Standard
